baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
IRX3,0.947463689933264,-3.80927653322877,1.51977629660925,-2.50647186808189,0.0121942760957987,NA
JPH4,2.43894322940129,-2.9697120384042,1.08509695366619,-2.73681722943789,0.00620367493077238,NA
KIAA0754,16.5466381460008,-0.998067167726239,0.347408508353343,-2.87289212476951,0.00406732973355248,0.847923136340025
KIAA0825,22.9521113131918,-1.0288603342245,0.354605536566662,-2.9014220820861,0.00371473148901374,0.820881364442256
KIDINS220,74.9773290913959,-0.489295586221851,0.156707127932845,-3.12235692579046,0.00179409284423365,0.681756064929876
KIF9,6.2260992063434,-2.22593678210683,0.780004486640244,-2.85374869020912,0.00432066956072102,NA
KLF5,4.52368228734054,-1.32507543480643,0.558785814655378,-2.37134766139984,0.0177233511766322,NA
KPNA2,7.37283316822336,1.26202171128785,0.483362827223902,2.61092007951049,0.00902989936982102,NA
KRTAP1-3,1.46714800820581,-4.02995077106907,1.48752905887544,-2.70915767797886,0.00674542738130747,NA
LDB1,39.4316361935212,0.469954870154973,0.197379190340637,2.38097475901043,0.0172668950397244,0.999483955276918
LEF1-AS1,3.73020514386245,-2.27262410677027,0.87990127708537,-2.58281714773528,0.00979972460965821,NA
LILRA5,3.68103747969081,-2.1315657430301,0.763946776723192,-2.79020189360972,0.0052675183304013,NA
LINC00537,16.4133624499751,-1.36920827579227,0.424008124963956,-3.2292029213088,0.0012413577925377,0.668344896224597
LINC00554,2.93830407024628,-2.64331239661528,1.0194116565705,-2.59297839060219,0.00951487488240089,NA
LINC00638,5.10952613660907,-2.06219695391632,0.64968755784166,-3.17413644301145,0.00150283027123495,NA
LINC01135,1.75169789461108,-2.5557320986166,1.05234199687533,-2.42861361249975,0.0151566755243951,NA
LINC01297-DUXAP10-NBEAP6,37.8482845138622,-1.39743836834551,0.45188957300164,-3.09243331078242,0.00198522834286583,0.681756064929876
LINC01509,1.30445262019188,-3.2619187973465,1.36238425550204,-2.39427223573166,0.0166533830092759,NA
LINC02043,5.1173981009901,-1.74412492349983,0.690946240037913,-2.52425561126742,0.0115943589915399,NA
LINC02210,26.5338421329314,-0.605627789870355,0.247941011732256,-2.44262853345277,0.014580736479426,0.999483955276918
LINC02418,6.94288503172533,-2.00373669757129,0.692333394180708,-2.89417889475412,0.00380151508434725,NA
LINC02421,9.02701757843665,-1.63503066098434,0.482338245258863,-3.38980098935933,0.000699433793947913,0.406739157333184
LOC100132249,33.7578682189372,-1.14586970200419,0.407819029147213,-2.80975045328391,0.00495799262134317,0.928489160563063
LOC100287467,3.28733396831615,-2.32997923892696,0.973597706236706,-2.39316426487192,0.0167037608255789,NA
LOC100506679,3.784776279604,-2.24748013028306,0.864664442296107,-2.59925124747226,0.00934273642254865,NA
LOC101927124,3.92206314721666,-1.89602146224166,0.753208218185386,-2.51726072082633,0.0118271273807729,NA
LOC101927692,5.70129062590382,-1.29839948212849,0.551005789339642,-2.35641713253969,0.0184521841440415,NA
LOC101928222,3.30717004910095,-1.88885694277421,0.743701440209508,-2.53980541202408,0.0110914159071824,NA
LOC101928797,1.48493985824967,2.39467604820634,1.02843082608605,2.32847556438955,0.0198868652990978,NA
LOC101929657,4.0712280351529,-2.41807770073878,0.875643013477186,-2.76148803053492,0.0057538625628944,NA
LOC112268173,2.11162543899819,-3.67169837998852,1.2187727488795,-3.01261936104509,0.0025900355832291,NA
LOC148696,5.91445051217831,-1.09051173697916,0.460890801837848,-2.36609568390308,0.0179767976666649,NA
LOC257396,6.37012365861808,-1.40607774951341,0.600560424110882,-2.34127606992266,0.0192179506699619,NA
LOC283028,2.92527335559076,-2.49388489992411,0.932851994672254,-2.67339826056791,0.00750870484672763,NA
LOC730268,10.1828673764922,-1.68897082937074,0.670681296280517,-2.51829123420838,0.0117925768354615,0.999483955276918
LONP2,104.972901126388,0.349482126862352,0.137469170742677,2.5422582021429,0.0110138777494894,0.999483955276918
LOXL1,2.84510077647477,-2.02265236700665,0.855479470379933,-2.36434939357266,0.0180617694642223,NA
LRRC20,4.20738548432344,-1.60460073559394,0.638543266283124,-2.51290839684851,0.0119740421931153,NA
LRRN3,29.6336328347814,-0.957134888807292,0.397415801940314,-2.40839665693776,0.0160227618603961,0.999483955276918
LSMEM2,2.28594569660059,-2.48176298112588,0.928797546493197,-2.67201715863281,0.00753967930221765,NA
LYRM7,54.3921975807997,-0.558551099519003,0.208099753466046,-2.68405459504851,0.00727352276950654,0.999483955276918
